Optical Parameter Monitor,,,,
7.0.5319.1035,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 11/27/2025 16:19:32,,,
Sample Interval , 0.1 s,,,
, PM 220208217,,,
Type, PM100USB,,,
Serialnumber,1915246,,,
Sensor, S150C,,,
SensorSerialnumber,220208217,,,
Wavelength / Responsivity, 401 nm,,,
,,,,
,,,PM 220208217, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
0, 11/27/2025, 16:19:32.007,1.31E-06,
1, 11/27/2025, 16:19:32.480,1.31E-06,
2, 11/27/2025, 16:19:32.586,1.31E-06,
3, 11/27/2025, 16:19:32.709,1.31E-06,
4, 11/27/2025, 16:19:32.838,1.31E-06,
5, 11/27/2025, 16:19:32.962,1.31E-06,
6, 11/27/2025, 16:19:33.084,1.31E-06,
7, 11/27/2025, 16:19:33.208,1.31E-06,
8, 11/27/2025, 16:19:33.331,1.31E-06,
9, 11/27/2025, 16:19:33.454,1.31E-06,
10, 11/27/2025, 16:19:33.576,1.31E-06,
11, 11/27/2025, 16:19:33.700,1.31E-06,
12, 11/27/2025, 16:19:33.821,1.31E-06,
13, 11/27/2025, 16:19:33.951,1.31E-06,
14, 11/27/2025, 16:19:34.074,1.31E-06,
15, 11/27/2025, 16:19:34.197,1.31E-06,
16, 11/27/2025, 16:19:34.320,1.31E-06,
17, 11/27/2025, 16:19:34.444,1.31E-06,
18, 11/27/2025, 16:19:34.567,1.31E-06,
19, 11/27/2025, 16:19:34.691,1.31E-06,
20, 11/27/2025, 16:19:34.816,1.31E-06,
21, 11/27/2025, 16:19:34.939,1.31E-06,
22, 11/27/2025, 16:19:35.063,1.31E-06,
23, 11/27/2025, 16:19:35.185,1.31E-06,
24, 11/27/2025, 16:19:35.307,1.31E-06,
25, 11/27/2025, 16:19:35.435,1.31E-06,
26, 11/27/2025, 16:19:35.557,1.31E-06,
27, 11/27/2025, 16:19:35.681,1.31E-06,
28, 11/27/2025, 16:19:35.804,1.31E-06,
29, 11/27/2025, 16:19:35.931,1.31E-06,
30, 11/27/2025, 16:19:36.054,1.31E-06,
31, 11/27/2025, 16:19:36.177,1.31E-06,
32, 11/27/2025, 16:19:36.304,1.31E-06,
33, 11/27/2025, 16:19:36.427,1.31E-06,
34, 11/27/2025, 16:19:36.550,1.31E-06,
35, 11/27/2025, 16:19:36.674,1.31E-06,
36, 11/27/2025, 16:19:36.797,1.31E-06,
37, 11/27/2025, 16:19:36.919,1.31E-06,
38, 11/27/2025, 16:19:37.042,1.31E-06,
39, 11/27/2025, 16:19:37.166,1.31E-06,
40, 11/27/2025, 16:19:37.289,1.31E-06,
41, 11/27/2025, 16:19:37.412,1.31E-06,
42, 11/27/2025, 16:19:37.536,1.31E-06,
43, 11/27/2025, 16:19:37.659,1.31E-06,
44, 11/27/2025, 16:19:37.782,1.31E-06,
45, 11/27/2025, 16:19:37.903,1.31E-06,
46, 11/27/2025, 16:19:38.032,1.31E-06,
47, 11/27/2025, 16:19:38.154,1.31E-06,
48, 11/27/2025, 16:19:38.277,1.31E-06,
49, 11/27/2025, 16:19:38.399,1.31E-06,
50, 11/27/2025, 16:19:38.522,1.31E-06,
51, 11/27/2025, 16:19:38.651,1.31E-06,
52, 11/27/2025, 16:19:38.774,1.31E-06,
53, 11/27/2025, 16:19:38.897,1.31E-06,
54, 11/27/2025, 16:19:39.020,1.31E-06,
55, 11/27/2025, 16:19:39.142,1.31E-06,
56, 11/27/2025, 16:19:39.265,1.31E-06,
57, 11/27/2025, 16:19:39.388,1.31E-06,
58, 11/27/2025, 16:19:39.511,1.31E-06,
59, 11/27/2025, 16:19:39.633,1.31E-06,
60, 11/27/2025, 16:19:39.757,1.31E-06,
61, 11/27/2025, 16:19:39.882,1.31E-06,
62, 11/27/2025, 16:19:40.006,1.31E-06,
63, 11/27/2025, 16:19:40.130,1.31E-06,
64, 11/27/2025, 16:19:40.253,1.31E-06,
65, 11/27/2025, 16:19:40.377,1.31E-06,
66, 11/27/2025, 16:19:40.500,1.31E-06,
67, 11/27/2025, 16:19:40.622,1.31E-06,
